Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2011-01-03T16:30:00Z,TQQQ,0.79558524659343,1017855663,Market,Filled,809790948.64437,Warning: No quote information available at 01/03/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-01-03T16:30:00Z,TQQQ,0.79558524659343,-20,Market,Filled,-15.911704931869,Warning: No quote information available at 01/03/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-01-04T16:30:00Z,USDCHF,0.94731,-1,Market,Filled,-0.94731, 
2011-01-04T16:30:00Z,USDJPY,82.023,1,Market,Filled,82.023, 
2011-01-05T16:30:00Z,USDCHF,0.96582,-1,Market,Filled,-0.96582, 
2011-01-05T16:30:00Z,USDJPY,83.321,1,Market,Filled,83.321, 
2011-01-06T16:30:00Z,USDCHF,0.96412,-1,Market,Filled,-0.96412, 
2011-01-06T16:30:00Z,USDJPY,83.23,1,Market,Filled,83.23, 
2011-01-07T16:30:00Z,USDCHF,0.96386,-1,Market,Filled,-0.96386, 
2011-01-07T16:30:00Z,USDJPY,82.973,1,Market,Filled,82.973, 
2011-01-10T16:30:00Z,USDCHF,0.96955,-1,Market,Filled,-0.96955, 
2011-01-10T16:30:00Z,USDJPY,82.726,1,Market,Filled,82.726, 
2011-01-11T16:30:00Z,USDCHF,0.97662,-1,Market,Filled,-0.97662, 
2011-01-11T16:30:00Z,USDJPY,83.447,1,Market,Filled,83.447, 
2011-01-12T16:30:00Z,USDCHF,0.97152,-1,Market,Filled,-0.97152, 
2011-01-12T16:30:00Z,USDJPY,83.281,1,Market,Filled,83.281, 
2011-01-13T16:30:00Z,USDCHF,0.96466,-1,Market,Filled,-0.96466, 
2011-01-13T16:30:00Z,USDJPY,82.821,1,Market,Filled,82.821, 
2011-01-14T16:30:00Z,USDCHF,0.96383,-1,Market,Filled,-0.96383, 
2011-01-14T16:30:00Z,USDJPY,82.832,1,Market,Filled,82.832, 
2011-01-18T16:30:00Z,USDCHF,0.96187,-1,Market,Filled,-0.96187, 
2011-01-18T16:30:00Z,USDJPY,82.714,1,Market,Filled,82.714, 
2011-01-19T16:30:00Z,USDCHF,0.95954,-1,Market,Filled,-0.95954, 
2011-01-19T16:30:00Z,USDJPY,82.07,1,Market,Filled,82.07, 
2011-01-20T16:30:00Z,USDCHF,0.96803,-1,Market,Filled,-0.96803, 
2011-01-20T16:30:00Z,USDJPY,83.009,1,Market,Filled,83.009, 
2011-01-21T16:30:00Z,USDCHF,0.95933,-1,Market,Filled,-0.95933, 
2011-01-21T16:30:00Z,USDJPY,82.671,1,Market,Filled,82.671, 
2011-01-24T16:30:00Z,USDCHF,0.94761,-1,Market,Filled,-0.94761, 
2011-01-24T16:30:00Z,USDJPY,82.492,1,Market,Filled,82.492, 
2011-01-25T16:30:00Z,USDCHF,0.94314,-1,Market,Filled,-0.94314, 
2011-01-25T16:30:00Z,USDJPY,82.379,1,Market,Filled,82.379, 
2011-01-26T16:30:00Z,USDCHF,0.94121,-1,Market,Filled,-0.94121, 
2011-01-26T16:30:00Z,USDJPY,82.257,1,Market,Filled,82.257, 
2011-01-27T16:30:00Z,USDCHF,0.94551,-1,Market,Filled,-0.94551, 
2011-01-27T16:30:00Z,USDJPY,82.912,1,Market,Filled,82.912, 
2011-01-28T16:30:00Z,USDCHF,0.9419,-1,Market,Filled,-0.9419, 
2011-01-28T16:30:00Z,USDJPY,82.29,1,Market,Filled,82.29, 
2011-01-31T16:30:00Z,USDCHF,0.93966,-1,Market,Filled,-0.93966, 
2011-01-31T16:30:00Z,USDJPY,81.929,1,Market,Filled,81.929, 
2011-02-01T16:30:00Z,USDCHF,0.94124,-1,Market,Filled,-0.94124, 
2011-02-01T16:30:00Z,USDJPY,81.501,1,Market,Filled,81.501, 
2011-02-02T16:30:00Z,USDCHF,0.93748,-1,Market,Filled,-0.93748, 
2011-02-02T16:30:00Z,USDJPY,81.622,1,Market,Filled,81.622, 
2011-02-03T16:30:00Z,USDCHF,0.94766,-1,Market,Filled,-0.94766, 
2011-02-03T16:30:00Z,USDJPY,81.836,1,Market,Filled,81.836, 
2011-02-04T16:30:00Z,USDCHF,0.95698,-1,Market,Filled,-0.95698, 
2011-02-04T16:30:00Z,USDJPY,81.987,1,Market,Filled,81.987, 
2011-02-07T16:30:00Z,USDCHF,0.95744,-1,Market,Filled,-0.95744, 
2011-02-07T16:30:00Z,USDJPY,82.359,1,Market,Filled,82.359, 
2011-02-08T16:30:00Z,USDCHF,0.95768,-1,Market,Filled,-0.95768, 
2011-02-08T16:30:00Z,USDJPY,81.844,1,Market,Filled,81.844, 
2011-02-09T16:30:00Z,USDCHF,0.96068,-1,Market,Filled,-0.96068, 
2011-02-09T16:30:00Z,USDJPY,82.48,1,Market,Filled,82.48, 
2011-02-10T16:30:00Z,USDCHF,0.96671,-1,Market,Filled,-0.96671, 
2011-02-10T16:30:00Z,USDJPY,83.202,1,Market,Filled,83.202, 
2011-02-11T16:30:00Z,USDCHF,0.9719,-1,Market,Filled,-0.9719, 
2011-02-11T16:30:00Z,USDJPY,83.385,1,Market,Filled,83.385, 
2011-02-14T16:30:00Z,USDCHF,0.97037,-1,Market,Filled,-0.97037, 
2011-02-14T16:30:00Z,USDJPY,83.385,1,Market,Filled,83.385, 
2011-02-15T16:30:00Z,USDCHF,0.96742,-1,Market,Filled,-0.96742, 
2011-02-15T16:30:00Z,USDJPY,83.82,1,Market,Filled,83.82, 
2011-02-16T16:30:00Z,USDCHF,0.96794,-1,Market,Filled,-0.96794, 
2011-02-16T16:30:00Z,USDJPY,83.869,1,Market,Filled,83.869, 
2011-02-17T16:30:00Z,USDCHF,0.95119,-1,Market,Filled,-0.95119, 
2011-02-17T16:30:00Z,USDJPY,83.318,1,Market,Filled,83.318, 
2011-02-18T16:30:00Z,USDCHF,0.95127,-1,Market,Filled,-0.95127, 
2011-02-18T16:30:00Z,USDJPY,83.351,1,Market,Filled,83.351, 
2011-02-22T16:30:00Z,USDCHF,0.93992,-1,Market,Filled,-0.93992, 
2011-02-22T16:30:00Z,USDJPY,82.946,1,Market,Filled,82.946, 
2011-02-23T16:30:00Z,USDCHF,0.9339,-1,Market,Filled,-0.9339, 
2011-02-23T16:30:00Z,USDJPY,82.561,1,Market,Filled,82.561, 
2011-02-24T16:30:00Z,USDCHF,0.92721,-1,Market,Filled,-0.92721, 
2011-02-24T16:30:00Z,USDJPY,81.767,1,Market,Filled,81.767, 
2011-02-25T16:30:00Z,USDCHF,0.92907,-1,Market,Filled,-0.92907, 
2011-02-25T16:30:00Z,USDJPY,81.752,1,Market,Filled,81.752, 
2011-02-28T16:30:00Z,USDCHF,0.92939,-1,Market,Filled,-0.92939, 
2011-02-28T16:30:00Z,USDJPY,81.928,1,Market,Filled,81.928, 
2011-03-01T16:30:00Z,USDCHF,0.93047,-1,Market,Filled,-0.93047, 
2011-03-01T16:30:00Z,USDJPY,82.054,1,Market,Filled,82.054, 
2011-03-02T16:30:00Z,USDCHF,0.92229,-1,Market,Filled,-0.92229, 
2011-03-02T16:30:00Z,USDJPY,81.669,1,Market,Filled,81.669, 
2011-03-03T16:30:00Z,USDCHF,0.93053,-1,Market,Filled,-0.93053, 
2011-03-03T16:30:00Z,USDJPY,82.377,1,Market,Filled,82.377, 
2011-03-04T16:30:00Z,USDCHF,0.9259,-1,Market,Filled,-0.9259, 
2011-03-04T16:30:00Z,USDJPY,82.377,1,Market,Filled,82.377, 
2011-03-07T16:30:00Z,USDCHF,0.92441,-1,Market,Filled,-0.92441, 
2011-03-07T16:30:00Z,USDJPY,82.029,1,Market,Filled,82.029, 
2011-03-08T16:30:00Z,USDCHF,0.93208,-1,Market,Filled,-0.93208, 
2011-03-08T16:30:00Z,USDJPY,82.695,1,Market,Filled,82.695, 
2011-03-09T16:30:00Z,USDCHF,0.92865,-1,Market,Filled,-0.92865, 
2011-03-09T16:30:00Z,USDJPY,82.699,1,Market,Filled,82.699, 
2011-03-10T16:30:00Z,USDCHF,0.93397,-1,Market,Filled,-0.93397, 
2011-03-10T16:30:00Z,USDJPY,83.051,1,Market,Filled,83.051, 
2011-03-11T16:30:00Z,USDCHF,0.92771,-1,Market,Filled,-0.92771, 
2011-03-11T16:30:00Z,USDJPY,81.809,1,Market,Filled,81.809, 
2011-03-14T15:30:00Z,USDCHF,0.92505,-1,Market,Filled,-0.92505, 
2011-03-14T15:30:00Z,USDJPY,81.787,1,Market,Filled,81.787, 
2011-03-15T15:30:00Z,USDCHF,0.91777,-1,Market,Filled,-0.91777, 
2011-03-15T15:30:00Z,USDJPY,80.915,1,Market,Filled,80.915, 
2011-03-16T15:30:00Z,USDCHF,0.91539,-1,Market,Filled,-0.91539, 
2011-03-16T15:30:00Z,USDJPY,80.59,1,Market,Filled,80.59, 
2011-03-17T15:30:00Z,USDCHF,0.89907,-1,Market,Filled,-0.89907, 
2011-03-17T15:30:00Z,USDJPY,78.629,1,Market,Filled,78.629, 
2011-03-18T15:30:00Z,USDCHF,0.90497,-1,Market,Filled,-0.90497, 
2011-03-18T15:30:00Z,USDJPY,81.087,1,Market,Filled,81.087, 
2011-03-21T15:30:00Z,USDCHF,0.90578,-1,Market,Filled,-0.90578, 
2011-03-21T15:30:00Z,USDJPY,81.122,1,Market,Filled,81.122, 
2011-03-22T15:30:00Z,USDCHF,0.90388,-1,Market,Filled,-0.90388, 
2011-03-22T15:30:00Z,USDJPY,81.008,1,Market,Filled,81.008, 
2011-03-23T15:30:00Z,USDCHF,0.90455,-1,Market,Filled,-0.90455, 
2011-03-23T15:30:00Z,USDJPY,80.886,1,Market,Filled,80.886, 
2011-03-24T15:30:00Z,USDCHF,0.90401,-1,Market,Filled,-0.90401, 
2011-03-24T15:30:00Z,USDJPY,80.86,1,Market,Filled,80.86, 
2011-03-25T15:30:00Z,USDCHF,0.9148,-1,Market,Filled,-0.9148, 
2011-03-25T15:30:00Z,USDJPY,81.114,1,Market,Filled,81.114, 
2011-03-28T15:30:00Z,USDCHF,0.91559,-1,Market,Filled,-0.91559, 
2011-03-28T15:30:00Z,USDJPY,81.726,1,Market,Filled,81.726, 
2011-03-29T15:30:00Z,USDCHF,0.92044,-1,Market,Filled,-0.92044, 
2011-03-29T15:30:00Z,USDJPY,82.36,1,Market,Filled,82.36, 
2011-03-30T15:30:00Z,USDCHF,0.92265,-1,Market,Filled,-0.92265, 
2011-03-30T15:30:00Z,USDJPY,83.051,1,Market,Filled,83.051, 
2011-03-31T15:30:00Z,USDCHF,0.9146,-1,Market,Filled,-0.9146, 
2011-03-31T15:30:00Z,USDJPY,82.878,1,Market,Filled,82.878, 
2011-04-01T15:30:00Z,USDCHF,0.92797,-1,Market,Filled,-0.92797, 
2011-04-01T15:30:00Z,USDJPY,84.353,1,Market,Filled,84.353, 
2011-04-01T15:30:00Z,USDJPY,84.341,-20,Market,Filled,-1686.82, 
2011-04-01T15:30:00Z,USDCHF,0.92797,-20,Market,Filled,-18.5594, 
2011-04-01T15:30:00Z,TQQQ,0.87503995001269,-20,Market,Filled,-17.500799000254,Warning: No quote information available at 04/01/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-04-04T15:30:00Z,USDCHF,0.91968,-1,Market,Filled,-0.91968, 
2011-04-04T15:30:00Z,USDJPY,83.908,1,Market,Filled,83.908, 
2011-04-05T15:30:00Z,USDCHF,0.9235,-1,Market,Filled,-0.9235, 
2011-04-05T15:30:00Z,USDJPY,84.53,1,Market,Filled,84.53, 
2011-04-06T15:30:00Z,USDCHF,0.9166,-1,Market,Filled,-0.9166, 
2011-04-06T15:30:00Z,USDJPY,85.44,1,Market,Filled,85.44, 
2011-04-07T15:30:00Z,USDCHF,0.91751,-1,Market,Filled,-0.91751, 
2011-04-07T15:30:00Z,USDJPY,85.215,1,Market,Filled,85.215, 
2011-04-08T15:30:00Z,USDCHF,0.91112,-1,Market,Filled,-0.91112, 
2011-04-08T15:30:00Z,USDJPY,85.031,1,Market,Filled,85.031, 
2011-04-11T15:30:00Z,USDCHF,0.90871,-1,Market,Filled,-0.90871, 
2011-04-11T15:30:00Z,USDJPY,84.672,1,Market,Filled,84.672, 
2011-04-12T15:30:00Z,USDCHF,0.89535,-1,Market,Filled,-0.89535, 
2011-04-12T15:30:00Z,USDJPY,83.59,1,Market,Filled,83.59, 
2011-04-13T15:30:00Z,USDCHF,0.89402,-1,Market,Filled,-0.89402, 
2011-04-13T15:30:00Z,USDJPY,83.9,1,Market,Filled,83.9, 
2011-04-14T15:30:00Z,USDCHF,0.89216,-1,Market,Filled,-0.89216, 
2011-04-14T15:30:00Z,USDJPY,83.154,1,Market,Filled,83.154, 
2011-04-15T15:30:00Z,USDCHF,0.89507,-1,Market,Filled,-0.89507, 
2011-04-15T15:30:00Z,USDJPY,83.208,1,Market,Filled,83.208, 
2011-04-18T15:30:00Z,USDCHF,0.89794,-1,Market,Filled,-0.89794, 
2011-04-18T15:30:00Z,USDJPY,82.214,1,Market,Filled,82.214, 
2011-04-19T15:30:00Z,USDCHF,0.89765,-1,Market,Filled,-0.89765, 
2011-04-19T15:30:00Z,USDJPY,82.463,1,Market,Filled,82.463, 
2011-04-20T15:30:00Z,USDCHF,0.892,-1,Market,Filled,-0.892, 
2011-04-20T15:30:00Z,USDJPY,82.462,1,Market,Filled,82.462, 
2011-04-21T15:30:00Z,USDCHF,0.8826,-1,Market,Filled,-0.8826, 
2011-04-21T15:30:00Z,USDJPY,81.752,1,Market,Filled,81.752, 
2011-04-25T15:30:00Z,USDCHF,0.88206,-1,Market,Filled,-0.88206, 
2011-04-25T15:30:00Z,USDJPY,81.936,1,Market,Filled,81.936, 
2011-04-26T15:30:00Z,USDCHF,0.87943,-1,Market,Filled,-0.87943, 
2011-04-26T15:30:00Z,USDJPY,81.712,1,Market,Filled,81.712, 
2011-04-27T15:30:00Z,USDCHF,0.88246,-1,Market,Filled,-0.88246, 
2011-04-27T15:30:00Z,USDJPY,82.73,1,Market,Filled,82.73, 
2011-04-28T15:30:00Z,USDCHF,0.87285,-1,Market,Filled,-0.87285, 
2011-04-28T15:30:00Z,USDJPY,81.449,1,Market,Filled,81.449, 
2011-04-29T15:30:00Z,USDCHF,0.86845,-1,Market,Filled,-0.86845, 
2011-04-29T15:30:00Z,USDJPY,81.154,1,Market,Filled,81.154, 
2011-05-02T15:30:00Z,USDCHF,0.86314,-1,Market,Filled,-0.86314, 
2011-05-02T15:30:00Z,USDJPY,81.073,1,Market,Filled,81.073, 
2011-05-03T15:30:00Z,USDCHF,0.8603,-1,Market,Filled,-0.8603, 
2011-05-03T15:30:00Z,USDJPY,80.841,1,Market,Filled,80.841, 
2011-05-04T15:30:00Z,USDCHF,0.85865,-1,Market,Filled,-0.85865, 
2011-05-04T15:30:00Z,USDJPY,80.663,1,Market,Filled,80.663, 
2011-05-05T15:30:00Z,USDCHF,0.86733,-1,Market,Filled,-0.86733, 
2011-05-05T15:30:00Z,USDJPY,80.002,1,Market,Filled,80.002, 
2011-05-06T15:30:00Z,USDCHF,0.87397,-1,Market,Filled,-0.87397, 
2011-05-06T15:30:00Z,USDJPY,80.624,1,Market,Filled,80.624, 
2011-05-09T15:30:00Z,USDCHF,0.87676,-1,Market,Filled,-0.87676, 
2011-05-09T15:30:00Z,USDJPY,80.721,1,Market,Filled,80.721, 
2011-05-10T15:30:00Z,USDCHF,0.87814,-1,Market,Filled,-0.87814, 
2011-05-10T15:30:00Z,USDJPY,80.662,1,Market,Filled,80.662, 
2011-05-11T15:30:00Z,USDCHF,0.88275,-1,Market,Filled,-0.88275, 
2011-05-11T15:30:00Z,USDJPY,81.107,1,Market,Filled,81.107, 
2011-05-12T15:30:00Z,USDCHF,0.88548,-1,Market,Filled,-0.88548, 
2011-05-12T15:30:00Z,USDJPY,80.749,1,Market,Filled,80.749, 
2011-05-13T15:30:00Z,USDCHF,0.88736,-1,Market,Filled,-0.88736, 
2011-05-13T15:30:00Z,USDJPY,80.772,1,Market,Filled,80.772, 
2011-05-16T15:30:00Z,USDCHF,0.87994,-1,Market,Filled,-0.87994, 
2011-05-16T15:30:00Z,USDJPY,80.871,1,Market,Filled,80.871, 
2011-05-17T15:30:00Z,USDCHF,0.88425,-1,Market,Filled,-0.88425, 
2011-05-17T15:30:00Z,USDJPY,81.435,1,Market,Filled,81.435, 
2011-05-18T15:30:00Z,USDCHF,0.87877,-1,Market,Filled,-0.87877, 
2011-05-18T15:30:00Z,USDJPY,81.357,1,Market,Filled,81.357, 
2011-05-19T15:30:00Z,USDCHF,0.88335,-1,Market,Filled,-0.88335, 
2011-05-19T15:30:00Z,USDJPY,81.85,1,Market,Filled,81.85, 
2011-05-20T15:30:00Z,USDCHF,0.87781,-1,Market,Filled,-0.87781, 
2011-05-20T15:30:00Z,USDJPY,81.651,1,Market,Filled,81.651, 
2011-05-23T15:30:00Z,USDCHF,0.88285,-1,Market,Filled,-0.88285, 
2011-05-23T15:30:00Z,USDJPY,81.812,1,Market,Filled,81.812, 
2011-05-24T15:30:00Z,USDCHF,0.87872,-1,Market,Filled,-0.87872, 
2011-05-24T15:30:00Z,USDJPY,82.164,1,Market,Filled,82.164, 
2011-05-25T15:30:00Z,USDCHF,0.87362,-1,Market,Filled,-0.87362, 
2011-05-25T15:30:00Z,USDJPY,81.992,1,Market,Filled,81.992, 
2011-05-26T15:30:00Z,USDCHF,0.86828,-1,Market,Filled,-0.86828, 
2011-05-26T15:30:00Z,USDJPY,81.346,1,Market,Filled,81.346, 
2011-05-27T15:30:00Z,USDCHF,0.85362,-1,Market,Filled,-0.85362, 
2011-05-27T15:30:00Z,USDJPY,80.959,1,Market,Filled,80.959, 
2011-05-31T15:30:00Z,USDCHF,0.85277,-1,Market,Filled,-0.85277, 
2011-05-31T15:30:00Z,USDJPY,81.241,1,Market,Filled,81.241, 
2011-06-01T15:30:00Z,USDCHF,0.84115,-1,Market,Filled,-0.84115, 
2011-06-01T15:30:00Z,USDJPY,80.859,1,Market,Filled,80.859, 
2011-06-02T15:30:00Z,USDCHF,0.84333,-1,Market,Filled,-0.84333, 
2011-06-02T15:30:00Z,USDJPY,80.9,1,Market,Filled,80.9, 
2011-06-03T15:30:00Z,TQQQ,0,1039219539,Market,Invalid,0, 
2011-06-03T15:30:00Z,USDCHF,0.83598,-1,Market,Filled,-0.83598, 
2011-06-03T15:30:00Z,USDJPY,80.531,1,Market,Filled,80.531, 
2011-06-03T15:30:00Z,TQQQ,0.82997134147616,-1017855623,Market,Filled,-844790996.85036,Warning: No quote information available at 06/03/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-06-03T15:30:00Z,GLD,149.98,5808859,Market,Filled,871212672.82,Warning: No quote information available at 06/03/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-06-06T15:30:00Z,TQQQ,0,1091323405,Market,Invalid,0, 
2011-06-06T15:30:00Z,USDCHF,0.83669,-1,Market,Filled,-0.83669, 
2011-06-06T15:30:00Z,USDJPY,80.178,1,Market,Filled,80.178, 
2011-06-06T15:30:00Z,USDCHF,0.83669,-1,Market,Filled,-0.83669, 
2011-06-06T15:30:00Z,USDJPY,80.178,1,Market,Filled,80.178, 
2011-06-07T15:30:00Z,TQQQ,0,1084230698,Market,Invalid,0, 
2011-06-07T15:30:00Z,USDCHF,0.83798,-1,Market,Filled,-0.83798, 
2011-06-07T15:30:00Z,USDJPY,80.252,1,Market,Filled,80.252, 
2011-06-07T15:30:00Z,USDCHF,0.83798,-1,Market,Filled,-0.83798, 
2011-06-07T15:30:00Z,USDJPY,80.252,1,Market,Filled,80.252, 
2011-06-08T15:30:00Z,TQQQ,0,1107450351,Market,Invalid,0, 
2011-06-08T15:30:00Z,USDCHF,0.83747,-1,Market,Filled,-0.83747, 
2011-06-08T15:30:00Z,USDJPY,79.883,1,Market,Filled,79.883, 
2011-06-08T15:30:00Z,USDCHF,0.83747,-1,Market,Filled,-0.83747, 
2011-06-08T15:30:00Z,USDJPY,79.883,1,Market,Filled,79.883, 
2011-06-09T15:30:00Z,TQQQ,0,1121157279,Market,Invalid,0, 
2011-06-09T15:30:00Z,USDCHF,0.84128,-1,Market,Filled,-0.84128, 
2011-06-09T15:30:00Z,USDJPY,80.112,1,Market,Filled,80.112, 
2011-06-09T15:30:00Z,USDCHF,0.84128,-1,Market,Filled,-0.84128, 
2011-06-09T15:30:00Z,USDJPY,80.112,1,Market,Filled,80.112, 
2011-06-10T15:30:00Z,TQQQ,0,1157299635,Market,Invalid,0, 
2011-06-10T15:30:00Z,USDCHF,0.84229,-1,Market,Filled,-0.84229, 
2011-06-10T15:30:00Z,USDJPY,80.209,1,Market,Filled,80.209, 
2011-06-10T15:30:00Z,USDCHF,0.84229,-1,Market,Filled,-0.84229, 
2011-06-10T15:30:00Z,USDJPY,80.209,1,Market,Filled,80.209, 
2011-06-13T15:30:00Z,TQQQ,0,1151993348,Market,Invalid,0, 
2011-06-13T15:30:00Z,USDCHF,0.8365,-1,Market,Filled,-0.8365, 
2011-06-13T15:30:00Z,USDJPY,80.18,1,Market,Filled,80.18, 
2011-06-13T15:30:00Z,USDCHF,0.8365,-1,Market,Filled,-0.8365, 
2011-06-13T15:30:00Z,USDJPY,80.18,1,Market,Filled,80.18, 
2011-06-14T15:30:00Z,TQQQ,0,1104090240,Market,Invalid,0, 
2011-06-14T15:30:00Z,USDCHF,0.84279,-1,Market,Filled,-0.84279, 
2011-06-14T15:30:00Z,USDJPY,80.481,1,Market,Filled,80.481, 
2011-06-14T15:30:00Z,USDCHF,0.84279,-1,Market,Filled,-0.84279, 
2011-06-14T15:30:00Z,USDJPY,80.481,1,Market,Filled,80.481, 
2011-06-15T15:30:00Z,TQQQ,0,1144029528,Market,Invalid,0, 
2011-06-15T15:30:00Z,USDCHF,0.84837,-1,Market,Filled,-0.84837, 
2011-06-15T15:30:00Z,USDJPY,80.633,1,Market,Filled,80.633, 
2011-06-15T15:30:00Z,USDCHF,0.84837,-1,Market,Filled,-0.84837, 
2011-06-15T15:30:00Z,USDJPY,80.633,1,Market,Filled,80.633, 
2011-06-16T15:30:00Z,TQQQ,0,1177477449,Market,Invalid,0, 
