Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2008-01-02T16:30:00Z,XLI,27.897149286,17876572,Market,Filled,498705397.80593,Warning: No quote information available at 01/02/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-03-07T16:30:00Z,SPY,95.757838001,10053288,Market,Filled,962681123.6814,Warning: No quote information available at 03/07/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-03-18T15:30:00Z,SPY,95.969869558,-10053288,Market,Filled,-964812737.98901,Warning: No quote information available at 03/18/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-04-11T15:30:00Z,SPY,99.001818406,9879674,Market,Filled,978105691.25848,Warning: No quote information available at 04/11/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-04-18T15:30:00Z,SPY,102.021689815,-9879674,Market,Filled,-1007941036.3013,Warning: No quote information available at 04/18/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-07-11T15:30:00Z,SPY,91.314142506,10529765,Market,Filled,961516461.76469,Warning: No quote information available at 07/11/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-08-05T15:30:00Z,SPY,93.699268499,-10529765,Market,Filled,-986631277.96637,Warning: No quote information available at 08/05/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-10-10T16:00:00Z,XLI,16.69907248,-17876572,Market,Filled,-298522171.52194,Warning: No quote information available at 10/10/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-10-13T15:30:00Z,XLI,18.52610448,23052853,Market,Filled,427079563.24008,Warning: No quote information available at 10/13/2008 11:00:00 America/New_York, order filled using TradeBar data 
2009-01-16T16:30:00Z,SPY,63.671259352,12527893,Market,Filled,797666724.33711,Warning: No quote information available at 01/16/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-02-03T16:30:00Z,SPY,62.06899577,-12527893,Market,Filled,-777593737.62401,Warning: No quote information available at 02/03/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-03-06T16:30:00Z,SPY,50.98792053,13125748,Market,Filled,669254595.92081,Warning: No quote information available at 03/06/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-09T15:30:00Z,TYD,0,33936209,Market,Invalid,0, 
2009-06-09T15:30:00Z,TMF,67.67525361,7934313,Market,Filled,536956644.49612,Warning: No quote information available at 06/09/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-09T15:30:00Z,SPY,71.027463949,-13125748,Market,Filled,-932288592.87366,Warning: No quote information available at 06/09/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-06-10T15:30:00Z,TYD,15.9399382,32938811,Market,Filled,525042611.72148,Warning: No quote information available at 06/10/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-07-10T15:30:00Z,TMF,82.933993515,-7934313,Market,Filled,-658024262.88798,Warning: No quote information available at 07/10/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-07-10T15:30:00Z,TYD,18.50416363,-32938811,Market,Filled,-609505148.52164,Warning: No quote information available at 07/10/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-07-10T15:30:00Z,SPY,66.742673933,18442655,Market,Filled,1230912109.1238,Warning: No quote information available at 07/10/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-12-04T16:30:00Z,TYD,0,47719158,Market,Invalid,0, 
2009-12-04T16:30:00Z,TMF,73.88914864,11513353,Market,Filled,850711851.16179,Warning: No quote information available at 12/04/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-12-04T16:30:00Z,SPY,85.065817256,-18442655,Market,Filled,-1568839519.9455,Warning: No quote information available at 12/04/2009 11:00:00 America/New_York, order filled using TradeBar data 
2009-12-07T16:30:00Z,TYD,18.052680583,47535394,Market,Filled,858141284.26905,Warning: No quote information available at 12/07/2009 11:00:00 America/New_York, order filled using TradeBar data 
2010-02-11T16:30:00Z,TQQQ,0.3998941310132,1943664646,Market,Filled,777260084.59324,Warning: No quote information available at 02/11/2010 11:00:00 America/New_York, order filled using TradeBar data 
