Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-02-11T15:00:00Z,TQQQ,0.39558983809992,23900702,Market,Filled,9454874.8346545,Warning: No quote information available at 02/11/2010 10:00:00 America/New_York, order filled using TradeBar data 
2010-03-01T16:00:00Z,TQQQ,0.46845898518464,-186316,Market,Filled,-87281.404283661,Warning: No quote information available at 03/01/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-03-22T15:00:00Z,TQQQ,0.55160779652105,-179587,Market,Filled,-99061.589353826,Warning: No quote information available at 03/22/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-04-26T15:00:00Z,TQQQ,0.64599840817213,-172761,Market,Filled,-111603.33099423,Warning: No quote information available at 04/26/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-05-10T15:00:00Z,TQQQ,0.52897227967125,257195,Market,Filled,136049.02547005,Warning: No quote information available at 05/10/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-05-24T15:00:00Z,TQQQ,0.44673496565764,-23619233,Market,Filled,-10551537.243115,Warning: No quote information available at 05/24/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-05-24T15:00:00Z,SHY,72.35077746,147171,Market,Filled,10647936.269566,Warning: No quote information available at 05/24/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-06-21T15:00:00Z,SHY,72.412096965,-147171,Market,Filled,-10656960.722436,Warning: No quote information available at 06/21/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-06-21T15:00:00Z,TQQQ,0.50962828093159,20713201,Market,Filled,10556033.018221,Warning: No quote information available at 06/21/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-06-28T15:00:00Z,TQQQ,0.44810221164186,-20713201,Market,Filled,-9281631.1782824,Warning: No quote information available at 06/28/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-06-28T15:00:00Z,SHY,72.610722872,128690,Market,Filled,9344273.9263977,Warning: No quote information available at 06/28/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-09T15:00:00Z,SHY,72.83891084,-128690,Market,Filled,-9373639.4359996,Warning: No quote information available at 08/09/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-09T15:00:00Z,TQQQ,0.48947406234944,18966851,Market,Filled,9283781.6089466,Warning: No quote information available at 08/09/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-16T15:00:00Z,TQQQ,0.42820118676049,-18966851,Market,Filled,-8121628.1073094,Warning: No quote information available at 08/16/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-08-16T15:00:00Z,SHY,72.899465754,112192,Market,Filled,8178736.8618728,Warning: No quote information available at 08/16/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-09-20T15:00:00Z,SHY,72.9427064,-112192,Market,Filled,-8183588.1164288,Warning: No quote information available at 09/20/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-09-20T15:00:00Z,TQQQ,0.53869491778123,15047747,Market,Filled,8106144.8329578,Warning: No quote information available at 09/20/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-10-18T15:00:00Z,TQQQ,0.63789620974715,-118114,Market,Filled,-75344.472918075,Warning: No quote information available at 10/18/2010 11:00:00 America/New_York, order filled using TradeBar data 
2010-12-13T16:00:00Z,TQQQ,0.75492233824803,-116270,Market,Filled,-87774.820268099,Warning: No quote information available at 12/13/2010 11:00:00 America/New_York, order filled using TradeBar data 
2011-02-07T16:00:00Z,TQQQ,0.88582348155171,-109974,Market,Filled,-97417.551560167,Warning: No quote information available at 02/07/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-03-21T15:00:00Z,TQQQ,0.78338356635974,95679,Market,Filled,74953.356245734,Warning: No quote information available at 03/21/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-04-25T15:00:00Z,TQQQ,0.8983338375709,-95134,Market,Filled,-85462.09130347,Warning: No quote information available at 04/25/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-06-13T15:00:00Z,TQQQ,0.73527662466344,162265,Market,Filled,119309.66150101,Warning: No quote information available at 06/13/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-07-05T15:00:00Z,TQQQ,0.87200161685293,-117100,Market,Filled,-102111.38933348,Warning: No quote information available at 07/05/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-08-08T15:00:00Z,TQQQ,0.61587013148463,-14749099,Market,Filled,-9083529.5404098,Warning: No quote information available at 08/08/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-08-08T15:00:00Z,SHY,73.887289996,125485,Market,Filled,9271746.5851481,Warning: No quote information available at 08/08/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-10-31T15:00:00Z,SHY,73.881109692,-125485,Market,Filled,-9270971.0497006,Warning: No quote information available at 10/31/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-10-31T15:00:00Z,TQQQ,0.80900684267377,11352318,Market,Filled,9184102.9422086,Warning: No quote information available at 10/31/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-11-07T16:00:00Z,TQQQ,0.76039351211751,-11352318,Market,Filled,-8632228.9546949,Warning: No quote information available at 11/07/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-11-07T16:00:00Z,SHY,73.940580327,117105,Market,Filled,8658811.6591933,Warning: No quote information available at 11/07/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-12-27T16:00:00Z,SHY,73.90905836,-117105,Market,Filled,-8655120.2792478,Warning: No quote information available at 12/27/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-12-27T16:00:00Z,TQQQ,0.69982940446617,12250771,Market,Filled,8573449.7731814,Warning: No quote information available at 12/27/2011 11:00:00 America/New_York, order filled using TradeBar data 
2012-01-03T16:00:00Z,TQQQ,0.73679579124333,-12250771,Market,Filled,-9026316.5122858,Warning: No quote information available at 01/03/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-01-03T16:00:00Z,SHY,73.96159412,121721,Market,Filled,9002679.1978805,Warning: No quote information available at 01/03/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-01-09T16:00:00Z,SHY,73.97910604,-121721,Market,Filled,-9004810.7662948,Warning: No quote information available at 01/09/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-01-09T16:00:00Z,TQQQ,0.75593729014986,11799014,Market,Filled,8919314.6696002,Warning: No quote information available at 01/09/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-02-06T16:00:00Z,TQQQ,0.92972994688849,-111211,Market,Filled,-103396.19712342,Warning: No quote information available at 02/06/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-03-12T15:00:00Z,TQQQ,1.0703034944137,-77096,Market,Filled,-82516.118205317,Warning: No quote information available at 03/12/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-04-02T15:00:00Z,TQQQ,1.2279929854055,-74838,Market,Filled,-91900.53904178,Warning: No quote information available at 04/02/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-04-23T15:00:00Z,TQQQ,1.0518709399111,96141,Market,Filled,101127.92403399,Warning: No quote information available at 04/23/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-05-21T15:00:00Z,TQQQ,0.91595529057991,85894,Market,Filled,78675.06372907,Warning: No quote information available at 05/21/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-06-04T15:00:00Z,TQQQ,0.85397335362337,-11717904,Market,Filled,-10006777.776317,Warning: No quote information available at 06/04/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-06-04T15:00:00Z,SHY,74.086090702,135551,Market,Filled,10042443.680747,Warning: No quote information available at 06/04/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-06-11T15:00:00Z,SHY,74.051003754,-135551,Market,Filled,-10037687.609858,Warning: No quote information available at 06/11/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-06-11T15:00:00Z,TQQQ,0.94633859300958,10506753,Market,Filled,9942945.8511192,Warning: No quote information available at 06/11/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-08-06T15:00:00Z,TQQQ,1.0982551051579,-73366,Market,Filled,-80574.584045018,Warning: No quote information available at 08/06/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-09-17T15:00:00Z,TQQQ,1.3022283421358,-82010,Market,Filled,-106795.74633856,Warning: No quote information available at 09/17/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-10-15T15:00:00Z,TQQQ,1.1225617471017,82486,Market,Filled,92595.62827143,Warning: No quote information available at 10/15/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-11-12T16:00:00Z,TQQQ,0.95626380513661,-10433863,Market,Filled,-9977525.534654,Warning: No quote information available at 11/12/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-11-12T16:00:00Z,SHY,74.174131004,135675,Market,Filled,10063575.223968,Warning: No quote information available at 11/12/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-11-26T16:00:00Z,SHY,74.156562522,-135675,Market,Filled,-10061191.620172,Warning: No quote information available at 11/26/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-11-26T16:00:00Z,TQQQ,1.017435520695,9796425,Market,Filled,9967230.7708247,Warning: No quote information available at 11/26/2012 11:00:00 America/New_York, order filled using TradeBar data 
2013-02-11T16:00:00Z,TQQQ,1.1821130198638,-68873,Market,Filled,-81415.670017083,Warning: No quote information available at 02/11/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-05-06T15:00:00Z,TQQQ,1.4059366810958,-77694,Market,Filled,-109232.84450106,Warning: No quote information available at 05/06/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-08-05T15:00:00Z,TQQQ,1.696603607673,-82894,Market,Filled,-140638.25945445,Warning: No quote information available at 08/05/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-10-21T15:00:00Z,TQQQ,2.0567470191394,-83954,Market,Filled,-172672.13924483,Warning: No quote information available at 10/21/2013 11:00:00 America/New_York, order filled using TradeBar data 
2013-12-09T16:00:00Z,TQQQ,2.3713154769613,-63025,Market,Filled,-149452.15793549,Warning: No quote information available at 12/09/2013 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-24T16:00:00Z,TQQQ,2.7182999670057,-60228,Market,Filled,-163717.77041282,Warning: No quote information available at 02/24/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-04-07T15:00:00Z,TQQQ,2.3423562457865,74959,Market,Filled,175580.68182791,Warning: No quote information available at 04/07/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-05-27T15:00:00Z,TQQQ,2.7049312786434,-63343,Market,Filled,-171338.46198311,Warning: No quote information available at 05/27/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-07-07T15:00:00Z,TQQQ,3.1806487550348,-70187,Market,Filled,-223240.19416963,Warning: No quote information available at 07/07/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-09-08T15:00:00Z,TQQQ,3.6543020537145,-60357,Market,Filled,-220562.70905605,Warning: No quote information available at 09/08/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-13T15:00:00Z,TQQQ,2.9780596623574,-9240829,Market,Filled,-27519740.091643,Warning: No quote information available at 10/13/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-13T15:00:00Z,SHY,74.99547488,371094,Market,Filled,27830370.755119,Warning: No quote information available at 10/13/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-27T15:00:00Z,SHY,75.013162492,-371094,Market,Filled,-27836934.521806,Warning: No quote information available at 10/27/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-27T15:00:00Z,TQQQ,3.4383420809204,8072023,Market,Filled,27754376.359057,Warning: No quote information available at 10/27/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-11-24T16:00:00Z,TQQQ,4.074066653742,-63473,Market,Filled,-258593.23271297,Warning: No quote information available at 11/24/2014 11:00:00 America/New_York, order filled using TradeBar data 
